"COMPANY_NAME","PRODUCT_NAME","CASE_REFERENCE","CASE_SEVERITY","TITLE","RESOLUTION_TIME_HOURS","SLA_STATUS"
"First  City Monument Bank","KACHASI v1.x","FC/12/12/0076","CRITICAL","Create Idris Adisa ON ISura",0.919549722166266,"Within SLA"
"First  City Monument Bank","KACHASI v1.x","FC/12/12/0075","HIGH","Pre-Charges Not taken",816.242169722216,"Breached SLA"
"First  City Monument Bank","KACHASI v1.x","FC/12/11/0074","HIGH","PENDING CUSTOM DUTY APPROVAL IFO 1023890781 ( 25423)",27.0630422221147,"Within SLA"
"First  City Monument Bank","KACHASI v1.x","FC/11/11/0073","CRITICAL","FAILED TRANSMISSION ON CUSTOM DUTY PAYMENT",46.1350302777719,"Breached SLA"
"First  City Monument Bank","KACHASI v1.x","FC/10/11/0071","HIGH","REQUEST FOR PRE-NEGOTIATION BREAKDWON",27.1674658333068,"Within SLA"
"First  City Monument Bank","KACHASI v1.x","FC/06/11/0070","CRITICAL","CUSTOM DUTY PAYMENT YET TO SETTLED",21.4195383331971,"Within SLA"
"First  City Monument Bank","KACHASI v1.x","FC/03/11/0069","CRITICAL","KACHASI SWIFT MANAGER ERROR",15.5845111111994,"Within SLA"
"First  City Monument Bank","KACHASI v1.x","FC/03/11/0068","HIGH","UNABLE TO GENERATE RECEIPT ON TRADEX",30.3312477779109,"Within SLA"
"First  City Monument Bank","KACHASI v1.x","FC/30/10/0067","HIGH","Pending Custom Duty Payment",16.9225080554606,"Within SLA"
"First  City Monument Bank","KACHASI v1.x","FC/22/10/0065","HIGH","EXCESS FX PURCHASE IFO PIVOT INTEGRATED ENERGY SERVICES LIMITED  LC WITH MAY ADD CLAUSE",24.179055277782,"Within SLA"
"First  City Monument Bank","KACHASI v1.x","FC/14/10/0064","CRITICAL","CUSTOM TRANSACTIONS YET TO BE TRANSIMITED 09-10-2025",27.3766611110768,"Breached SLA"
"First  City Monument Bank","KACHASI v1.x","FC/13/10/0063","CRITICAL","Finacle SSL Update",2.94053583336063,"Within SLA"
